well_id,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,suit_x,suit_y,suit_z,Y
14091,4723,62,14091,CB,PV-Crus I,"Crus I, left, paravermis",1313884,98,136,172,-8.14775673657696,-81.63390836252391,-27.04662284095789,12876,-4,-78,-27,0.7738447914952817
14116,4728,62,14116,CB,PV-IX,"IX, left, paravermis",1313808,99,152,139,-8.45753124033299,-49.0003782652199,-40.912652327168495,12876,-5,-48,-42,0.17574354003255183
14100,4726,62,14100,CB,PV-VIIIA,"VIIIA, left, paravermis",1313810,99,161,161,-7.668346385158241,-69.47274690624471,-49.558961661629,12876,-7,-68,-49,0.2805048843676394
14138,4741,61,14138,CB,He-VIIB,"VIIB, left, lateral hemisphere",1313960,111,165,166,-19.325028219389104,-74.7151555618327,-53.6477640820442,12876,-17,-72,-52,0.752640922154699
14122,4742,61,14122,CB,He-VIIIA,"VIIIA, left, lateral hemisphere",1312366,111,166,162,-19.3834897138052,-70.83580612228391,-54.6199124391614,12876,-17,-68,-54,0.5044776733432498
14153,4738,61,14153,CB,He-VI,"VI, left, lateral hemisphere",1313915,110,132,167,-17.696198872974602,-76.24907338152221,-24.2924230245368,12876,-15,-75,-21,0.7596085571473644
14137,4738,61,14137,CB,He-VI,"VI, left, lateral hemisphere",1312369,110,131,166,-17.7752425119312,-75.5894625865195,-23.509901299138495,12876,-15,-74,-21,0.7401446998119354
14147,4722,62,14147,CB,PV-VI,"VI, left, paravermis",1313849,97,120,159,-5.74913067906348,-71.32428476661079,-15.1648989200757,12876,-2,-66,-13,0.4125076595105623
14131,4722,62,14131,CB,PV-VI,"VI, left, paravermis",1313848,97,122,160,-5.868821937050001,-71.76211794812559,-17.0647816280636,12876,-2,-68,-15,0.4770953506231308
14123,4720,62,14123,CB,PV-V,"V, left, paravermis",1313846,97,112,152,-5.06334591526681,-63.9625093006977,-6.237409650296942,12876,-3,-61,-4,0.5131367283562819
14115,4724,62,14115,CB,PV-Crus II,"Crus II, left, paravermis",1313887,98,147,177,-7.99338629314083,-84.7347654897117,-35.0915998658566,12876,-3,-82,-37,0.6413365602493286
14107,4723,62,14107,CB,PV-Crus I,"Crus I, left, paravermis",1313886,98,140,168,-7.16402982535627,-77.8261845897899,-30.0441652638691,12876,-3,-75,-31,0.5716228216886521
14108,4727,62,14108,CB,PV-VIIIB,"VIIIB, left, paravermis",1313809,99,171,146,-7.82225775187418,-54.8408155329737,-59.5807548039935,12876,-5,-53,-58,0.6283353557509761
14092,4725,62,14092,CB,PV-VIIB,"VIIB, left, paravermis",1313811,99,154,162,-7.935357980314209,-70.6851188185713,-41.8365151322766,12876,-6,-70,-44,0.3354357566971045
14084,4728,62,14084,CB,PV-IX,"IX, left, paravermis",1312358,99,153,139,-8.35211323818978,-48.90316819165941,-41.891112997436295,12876,-6,-48,-43,0.20386483051158763
14076,4727,62,14076,CB,PV-VIIIB,"VIIIB, left, paravermis",1312359,99,169,148,-7.77102924431901,-56.7829583085606,-57.6273705668956,12876,-5,-55,-56,0.5938904542062018
14068,4726,62,14068,CB,PV-VIIIA,"VIIIA, left, paravermis",1312360,99,162,160,-7.53698406681175,-68.4275881093736,-50.7980986727728,12876,-7,-67,-50,0.28480438590049745
14155,4725,62,14155,CB,PV-VIIB,"VIIB, left, paravermis",1312361,99,157,161,-8.020595425660549,-69.5040274985215,-44.24631118924,12876,-6,-69,-46,0.30681735147600586
14083,4719,62,14083,CB,PV-IV,"IV, left, paravermis",1313833,97,106,139,-4.7380380456228295,-49.5839946015598,-0.119132435469012,12876,-2,-48,1,0.3598997965455055
14146,4742,61,14146,CB,He-VIIIA,"VIIIA, left, lateral hemisphere",1313961,111,168,159,-19.4456673015732,-67.9242373294452,-56.571782089115295,12876,-17,-65,-55,0.3574925595894456
14130,4740,61,14130,CB,He-Crus II,"Crus II, left, lateral hemisphere",1313959,111,153,178,-19.4817733296822,-86.0871843713596,-40.7204505732524,12876,-16,-83,-42,0.18840772924678667
14114,4741,61,14114,CB,He-VIIB,"VIIB, left, lateral hemisphere",1312364,111,165,164,-19.3469263798148,-72.77630352732909,-53.6447349077564,12876,-17,-70,-53,0.6262781363394525
14106,4740,61,14106,CB,He-Crus II,"Crus II, left, lateral hemisphere",1312363,111,155,177,-19.393606340575303,-85.2041738412335,-42.8555900789909,12876,-16,-82,-44,0.22306291869393102
14129,4736,61,14129,CB,He-V,"V, left, lateral hemisphere",1313946,109,123,139,-18.442390182902106,-51.772835265055896,-12.2854118656436,12876,-14,-49,-15,0.16549017716731343
14121,4735,61,14121,CB,He-IV,"IV, left, lateral hemisphere",1313945,109,124,127,-21.2839713651446,-38.9379652650119,-12.8124106218286,12876,-14,-38,-15,0.2710757152392314
14105,4736,61,14105,CB,He-V,"V, left, lateral hemisphere",1313944,109,122,137,-18.743882001519,-50.426963392635706,-10.8665075016681,12876,-14,-46,-14,0.2592144540765069
14097,4735,61,14097,CB,He-IV,"IV, left, lateral hemisphere",1313943,109,124,126,-21.288555786617103,-37.6170106585019,-13.006150942801002,12876,-14,-37,-15,0.27814175827162607
14066,4739,61,14066,CB,He-Crus I,"Crus I, left, lateral hemisphere",1313916,110,134,172,-17.650303244976698,-79.8590157181648,-25.3131151925807,12876,-15,-79,-23,0.7115024048835039
14145,4739,61,14145,CB,He-Crus I,"Crus I, left, lateral hemisphere",1312368,111,135,174,-18.91026610449289,-82.09766355737821,-25.3994135563643,12876,-16,-81,-24,0.6385872129883085
14098,4744,61,14098,CB,He-IX,"IX, left, lateral hemisphere",1313983,111,152,137,-19.8188465932915,-46.92884678777661,-40.5029961086458,12876,-18,-45,-41,0.5671337842941284
14090,4743,61,14090,CB,He-VIIIB,"VIIIB, left, lateral hemisphere",1313981,111,159,124,-19.7462116018414,-34.016622403594106,-47.70732017978112,12876,-18,-31,-46,0.6166694504874093
14074,4743,61,14074,CB,He-VIIIB,"VIIIB, left, lateral hemisphere",1312437,111,157,124,-19.8218764076462,-34.0358182963829,-45.7368151418549,12876,-18,-31,-44,0.6175908616610936
126435762,4735,62,126435762,CB,He-IV,"IV, left, lateral hemisphere",113255856,107,127,124,-16.2887392340876,-34.1988564095319,-19.9446857419963,14380,-13,-32,-17,0.2654997060696284
126435776,4738,61,126435776,CB,He-VI,"VI, left, lateral hemisphere",113222846,121,129,148,-29.413881010338105,-61.5893095261032,-23.2171768109993,14380,-26,-55,-20,0.3198265999555588
