"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Lbh",0.000384143417510373,1.67124184639741e-05,124,718,3.66356164612965,1.09861228866811,1.20056019215043e-84,2.56494935746154,13,103,146,36.6038693832248,30.4048269876787,43.0981042737969,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc13a3",0.000237178195103735,1.06561722792494e-05,123,475,3.2188758248682,0.693147180559945,3.55690549192973e-102,2.52572864430826,12.5,102,145,36.3086768881988,30.1096344926527,42.8029117787709,TRUE,TRUE,TRUE,FALSE,TRUE
"Tspo",0.000235264061369295,7.89336518626921e-06,75,313,3.2188758248682,0.693147180559945,6.73330147050883e-61,2.52572864430826,12.5,59,92,22.1394371269505,17.4163572065344,27.1577095423926,TRUE,TRUE,TRUE,FALSE,TRUE
"Plxdc2",0.000362649092448133,2.24309550512395e-05,98,686,3.61091791264422,1.09861228866811,1.69845692888432e-60,2.51230562397611,12.3333333333333,79,118,28.9288645125486,23.3202071070545,34.8327144130688,TRUE,TRUE,TRUE,FALSE,TRUE
"Ackr3",0.000229564900829876,5.82312172550004e-06,64,177,3.17805383034795,0.693147180559945,1.08340169899447e-61,2.484906649788,12,49,80,18.8923196816644,14.4644322562743,23.6153996020805,TRUE,TRUE,TRUE,FALSE,TRUE
"Angpt2",0.000112270619170124,1.00738812263495e-06,42,37,2.484906649788,0,1.51633945646351e-56,2.484906649788,12,30,55,12.3980847910923,8.85577485078019,16.2355872264304,TRUE,TRUE,TRUE,FALSE,TRUE
"Anpep",0.000106310855435685,6.5446364970268e-08,30,2,2.484906649788,0,5.99939717484327e-54,2.484906649788,12,20,41,8.85577485078019,5.90384990052013,12.1028922960663,TRUE,TRUE,TRUE,FALSE,TRUE
"Igfbp4",0.000225657217842324,6.44231611282724e-06,89,328,3.17805383034795,0.693147180559945,5.98548811616431e-76,2.484906649788,12,71,108,26.2721320573146,20.9586671468465,31.8807894628087,TRUE,TRUE,TRUE,FALSE,TRUE
"Itih2",0.000105656809253112,3.16759803845857e-08,52,1,2.484906649788,0,6.5318514133766e-96,2.484906649788,12,38,67,15.3500097413523,11.2173148109882,19.7778971667424,TRUE,TRUE,TRUE,FALSE,TRUE
"Palld",0.000225341476887967,5.01649845057533e-06,94,193,3.17805383034795,0.693147180559945,1.62533267961045e-99,2.484906649788,12,75,113,27.7480945324446,22.1394371269505,33.3567519379387,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem45a",0.000109550039626556,8.01421399335856e-08,33,7,2.484906649788,0,5.41366995281915e-55,2.484906649788,12,22,45,9.74135233585821,6.49423489057214,13.2836622761703,TRUE,TRUE,TRUE,FALSE,TRUE
"Mmp14",0.000345134952323651,2.2652275146575e-05,115,863,3.58351893845611,1.09861228866811,9.24182188651235e-68,2.484906649788,12,94,136,33.9471369279907,27.7480945324446,40.1461793235369,TRUE,TRUE,TRUE,FALSE,TRUE
"Phlda1",0.000578948287634855,3.8222585334968e-05,164,946,4.07753744390572,1.6094379124341,1.4539687434638e-111,2.46809953147162,11.8,139,190,48.4115691842651,41.0317568086149,56.0865740549412,TRUE,TRUE,TRUE,FALSE,TRUE
"4930523C07Rik",0.000216287049751037,8.7929150702757e-06,67,290,3.13549421592915,0.693147180559945,1.06265889043125e-53,2.4423470353692,11.5,51,83,19.7778971667424,15.0548172463263,24.5009770871585,TRUE,TRUE,TRUE,FALSE,TRUE
"Axl",0.000215773319294606,5.82109238443123e-06,63,245,3.13549421592915,0.693147180559945,4.72487426786477e-53,2.4423470353692,11.5,48,79,18.5971271866384,14.1692397612483,23.3202071070545,TRUE,TRUE,TRUE,FALSE,TRUE
