"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"Cellular Lipid Metabolic Process",-0.8,-0.65625,0.625,-0.4375,0.766826923076923,-0.625,-0.456018518518519,-0.71875,0.65625,-0.4375,0.3125,-0.420454545454545,0.589673913043478,0.5625,-0.8125,0.76875,0.65625,-0.68125,-0.78125,-0.65625,0.6875,-0.674342105263158,0.75,-0.420454545454545,-0.71875,0.5625,0.625,-0.645833333333333,0.444711538461538,-0.551724137931034,-0.46875,0.549632352941177,0.625,-0.8,-0.870833333333333,0.51875,0.9375,0.75,0.96875,0.514945652173913
"Cellular Macromolecule Localization",0.5625,0.520474137931034,-0.5,-0.471467391304348,-0.90625,-0.78125,-0.533333333333333,-0.338815789473684,-0.577083333333333,0.875,-0.420454545454545,0.625,0.772727272727273,-0.625,0.53125,-0.4375,-0.875,-0.59375,-0.541666666666667,0.5,0.729166666666667,0.59375,-0.5,0.90625,0.550480769230769,-0.4375,-0.84375,0.96875,-0.625,-0.5625,0.465909090909091,0.65625,0.75,0.729779411764706,-0.53125,0.80952380952381,-0.834821428571429,-0.533333333333333,-0.375,-0.59375
"Cellular Protein Catabolic Process",-0.615384615384615,-0.64516129032258,0.645161290322581,-0.551782682512733,0.505376344086022,-0.646451612903225,0.341935483870968,-0.592030360531309,0.67741935483871,0.583126550868486,0.541935483870968,0.482127288578902,0.404233870967742,0.598566308243728,-0.424098671726755,0.817836812144213,0.704301075268817,-0.76099706744868,-0.741935483870967,-0.677419354838709,0.67741935483871,-0.820683111954459,0.414634146341463,-0.350967741935484,-0.741935483870967,0.580645161290323,0.419354838709678,-0.52016129032258,0.36989247311828,-0.704545454545454,-0.483870967741935,0.283154121863799,0.645161290322581,-0.761904761904761,-0.730715287517531,0.419354838709678,0.452725250278087,0.774193548387097,0.809847198641766,0.385984427141268
"Cellular Response To Dna Damage Stimulus",0.770833333333333,0.84375,-0.604166666666667,0.597222222222222,-0.581730769230769,-0.497159090909091,0.65625,0.46875,-0.6875,-0.715277777777778,0.279411764705882,-0.71875,-0.75,0.726973684210526,0.68,-0.75,-0.485991379310345,0.365489130434783,0.875,-0.471467391304348,-0.84375,0.653846153846154,-0.46875,-0.28125,0.739130434782609,-0.599431818181818,-0.375,-0.842105263157895,0.40625,0.84375,0.46875,-0.75,-0.675,0.5625,0.514423076923077,-0.485991379310345,0.465277777777778,-0.5,0.493055555555556,0.614583333333333
"Cellular Response To Endogenous Stimulus",0.732142857142857,-0.448412698412698,0.320754716981132,-0.428571428571428,-0.492063492063492,-0.382404181184669,-0.520408163265306,0.523809523809524,-0.283251231527093,0.446969696969697,0.23469387755102,-0.445714285714286,-0.470383275261324,-0.394456289978678,-0.501519756838906,-0.346428571428571,-0.671602787456446,-0.437662337662338,0.400905432595573,0.25,-0.503026634382566,0.558708414872798,-0.511455525606469,0.239285714285714,0.370879120879121,-0.463133640552995,-0.345036319612591,0.678571428571429,0.357142857142857,0.647243107769424,0.695238095238095,-0.278021978021978,0.304187192118227,0.418831168831169,0.277408637873754,0.784810126582278,-0.412337662337662,0.505494505494505,-0.392857142857143,0.30952380952381
"Cellular Response To Organic Cyclic Compound",0.96875,0.65625,-0.8125,0.392857142857143,-0.842105263157895,-0.834821428571429,-0.65625,-0.4375,-0.6875,-0.8,-0.78125,-0.875,-0.75,-0.758223684210526,-0.78125,-0.84375,-0.802083333333333,0.59375,0.75,0.65625,-0.629464285714286,1,0.5625,0.607638888888889,0.6875,0.60875,-0.34375,0.59375,0.3125,0.96875,0.909926470588235,-0.28125,-0.675,0.614583333333333,0.619318181818182,0.46625,0.4375,-0.5,-0.798076923076923,0.71875
"Cellular Response To Stress",-0.432432432432432,0.458333333333333,-0.643859649122807,-0.4,-0.266666666666667,-0.495238095238095,-0.516666666666667,0.366666666666667,-0.416666666666667,-0.666666666666667,-0.330769230769231,-0.50077519379845,-0.7,0.361904761904762,0.622641509433962,-0.354022988505747,-0.62,0.458503401360544,0.469047619047619,0.338461538461538,-0.366666666666667,0.622222222222222,-0.3,0.538095238095238,0.472222222222222,-0.3,-0.4,-0.683333333333333,0.686991869918699,0.531446540880503,0.511111111111111,-0.269047619047619,-0.438095238095238,-0.4,0.433333333333333,0.466666666666667,0.433333333333333,0.867741935483871,0.599319727891156,0.627586206896552
"Central Nervous System Development",0.514945652173913,-0.650568181818182,0.59375,0.46875,0.85,-0.625,-0.3125,0.75,0.375,0.78125,0.6875,0.65625,-0.422697368421053,0.857638888888889,0.78125,0.8125,0.690340909090909,0.3125,0.65625,0.9375,-0.96875,0.625,-0.8125,-0.59375,-0.65625,-0.625,-0.28125,-0.8125,0.71875,0.772727272727273,-0.96875,-0.90625,-0.65625,-0.78125,0.84375,0.568181818181818,-0.90625,-0.59375,-0.90625,-0.96875
"Centrosome",-0.652217741935483,0.767741935483871,-0.727272727272727,-0.341935483870968,0.696480938416422,-0.395815170008718,0.729528535980149,0.73252688172043,0.555178268251273,0.774193548387097,0.617511520737327,0.612903225806452,0.874877810361681,-0.580645161290322,-0.534562211981567,-0.709677419354838,-0.338709677419355,0.645161290322581,-0.404692082111437,0.560117302052786,-0.541935483870967,0.451612903225807,-0.774193548387096,0.792626728110599,0.588709677419355,-0.718709677419354,-0.96774193548387,-0.451612903225806,0.515151515151515,-0.387096774193548,-0.838709677419354,0.451612903225807,-0.432432432432432,0.809475806451613,-0.370967741935484,-0.695652173913043,0.354838709677419,-0.470588235294117,-0.32258064516129,0.580645161290323
"Chemokine Production",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
